"OWNER","OBJECT_NAME","OBJECT_TYPE"
"PUBLIC","ALL_BLOCKCHAIN_TABLES","SYNONYM"
"PUBLIC","ALL_CAPTURE","SYNONYM"
"PUBLIC","ALL_CAPTURE_EXTRA_ATTRIBUTES","SYNONYM"
"PUBLIC","ALL_CAPTURE_PARAMETERS","SYNONYM"
"PUBLIC","ALL_CAPTURE_PREPARED_DATABASE","SYNONYM"
"PUBLIC","ALL_CAPTURE_PREPARED_SCHEMAS","SYNONYM"
"PUBLIC","ALL_CAPTURE_PREPARED_TABLES","SYNONYM"
"PUBLIC","ALL_CATALOG","SYNONYM"
"PUBLIC","ALL_CERTIFICATES","SYNONYM"
"PUBLIC","ALL_CLUSTERING_DIMENSIONS","SYNONYM"
"PUBLIC","ALL_CLUSTERING_JOINS","SYNONYM"
"PUBLIC","ALL_CLUSTERING_KEYS","SYNONYM"
"PUBLIC","ALL_CLUSTERING_TABLES","SYNONYM"
"PUBLIC","ALL_CLUSTERS","SYNONYM"
"PUBLIC","ALL_CLUSTER_HASH_EXPRESSIONS","SYNONYM"
"PUBLIC","ALL_CODE_ROLE_PRIVS","SYNONYM"
"PUBLIC","ALL_COLL_TYPES","SYNONYM"
"PUBLIC","ALL_COL_COMMENTS","SYNONYM"
"PUBLIC","ALL_COL_PENDING_STATS","SYNONYM"
"PUBLIC","ALL_COL_PRIVS","SYNONYM"
"PUBLIC","ALL_COL_PRIVS_MADE","SYNONYM"
"PUBLIC","ALL_COL_PRIVS_RECD","SYNONYM"
"PUBLIC","ALL_COMPARISON_SCAN_SUMMARY","SYNONYM"
"PUBLIC","ALL_CONSTRAINTS","SYNONYM"
"PUBLIC","ALL_CONS_COLUMNS","SYNONYM"
"PUBLIC","ALL_CONS_OBJ_COLUMNS","SYNONYM"
"PUBLIC","ALL_CONTEXT","SYNONYM"
"PUBLIC","ALL_CREDENTIALS","SYNONYM"
"PUBLIC","ALL_CUBES","SYNONYM"
"PUBLIC","ALL_CUBE_ATTRIBUTES","SYNONYM"
"PUBLIC","ALL_CUBE_ATTR_MAPPINGS","SYNONYM"
"PUBLIC","ALL_CUBE_ATTR_UNIQUE_KEYS","SYNONYM"
"PUBLIC","ALL_CUBE_ATTR_VISIBILITY","SYNONYM"
"PUBLIC","ALL_CUBE_BUILD_PROCESSES","SYNONYM"
"PUBLIC","ALL_CUBE_CALCULATED_MEMBERS","SYNONYM"
"PUBLIC","ALL_CUBE_CLASSIFICATIONS","SYNONYM"
"PUBLIC","ALL_CUBE_DEPENDENCIES","SYNONYM"
"PUBLIC","ALL_CUBE_DESCRIPTIONS","SYNONYM"
"PUBLIC","ALL_CUBE_DIMENSIONALITY","SYNONYM"
"PUBLIC","ALL_CUBE_DIMENSIONS","SYNONYM"
"PUBLIC","ALL_CUBE_DIMNL_MAPPINGS","SYNONYM"
"PUBLIC","ALL_CUBE_DIM_LEVELS","SYNONYM"
"PUBLIC","ALL_CUBE_DIM_MAPPINGS","SYNONYM"
"PUBLIC","ALL_CUBE_DIM_MODELS","SYNONYM"
"PUBLIC","ALL_CUBE_DIM_VIEWS","SYNONYM"
"PUBLIC","ALL_CUBE_DIM_VIEW_COLUMNS","SYNONYM"
"PUBLIC","ALL_CUBE_HIERARCHIES","SYNONYM"
"PUBLIC","ALL_CUBE_HIER_LEVELS","SYNONYM"
"PUBLIC","ALL_CUBE_HIER_VIEWS","SYNONYM"
"PUBLIC","ALL_CUBE_HIER_VIEW_COLUMNS","SYNONYM"
"PUBLIC","ALL_CUBE_MAPPINGS","SYNONYM"
"PUBLIC","ALL_CUBE_MEASURES","SYNONYM"
"PUBLIC","ALL_CUBE_MEAS_MAPPINGS","SYNONYM"
"PUBLIC","ALL_CUBE_NAMED_BUILD_SPECS","SYNONYM"
"PUBLIC","ALL_CUBE_SUB_PARTITION_LEVELS","SYNONYM"
"PUBLIC","ALL_CUBE_VIEWS","SYNONYM"
"PUBLIC","ALL_CUBE_VIEW_COLUMNS","SYNONYM"
"PUBLIC","ALL_DB_LINKS","SYNONYM"
"PUBLIC","ALL_DEF_AUDIT_OPTS","SYNONYM"
"PUBLIC","ALL_DEPENDENCIES","SYNONYM"
"PUBLIC","ALL_DEQUEUE_QUEUES","SYNONYM"
"PUBLIC","ALL_DIMENSIONS","SYNONYM"
"PUBLIC","ALL_DIM_ATTRIBUTES","SYNONYM"
"PUBLIC","ALL_DIM_CHILD_OF","SYNONYM"
"PUBLIC","ALL_DIM_HIERARCHIES","SYNONYM"
"PUBLIC","ALL_DIM_JOIN_KEY","SYNONYM"
"PUBLIC","ALL_DIM_LEVELS","SYNONYM"
"PUBLIC","ALL_DIM_LEVEL_KEY","SYNONYM"
"PUBLIC","ALL_DIRECTORIES","SYNONYM"
"PUBLIC","ALL_EDITIONING_VIEWS","SYNONYM"
"PUBLIC","ALL_EDITIONING_VIEWS_AE","SYNONYM"
"PUBLIC","ALL_EDITIONING_VIEW_COLS","SYNONYM"
"PUBLIC","ALL_EDITIONING_VIEW_COLS_AE","SYNONYM"
"PUBLIC","ALL_EDITIONS","SYNONYM"
"PUBLIC","ALL_EDITION_COMMENTS","SYNONYM"
"PUBLIC","ALL_EDITION_INHERITED_OBJECTS","SYNONYM"
"PUBLIC","ALL_ENCRYPTED_COLUMNS","SYNONYM"
"PUBLIC","ALL_ERRORS","SYNONYM"
"PUBLIC","ALL_ERRORS_AE","SYNONYM"
"PUBLIC","ALL_ERROR_TRANSLATIONS","SYNONYM"
"PUBLIC","ALL_EVALUATION_CONTEXTS","SYNONYM"
"PUBLIC","ALL_EVALUATION_CONTEXT_TABLES","SYNONYM"
"PUBLIC","ALL_EVALUATION_CONTEXT_VARS","SYNONYM"
"PUBLIC","ALL_EXPRESSION_STATISTICS","SYNONYM"
"PUBLIC","ALL_EXTERNAL_LOCATIONS","SYNONYM"
"PUBLIC","ALL_EXTERNAL_TABLES","SYNONYM"
"PUBLIC","ALL_FILE_GROUPS","SYNONYM"
"PUBLIC","ALL_FILE_GROUP_EXPORT_INFO","SYNONYM"
"PUBLIC","ALL_FILE_GROUP_FILES","SYNONYM"
"PUBLIC","ALL_FILE_GROUP_TABLES","SYNONYM"
"PUBLIC","ALL_FILE_GROUP_TABLESPACES","SYNONYM"
"PUBLIC","ALL_FILE_GROUP_VERSIONS","SYNONYM"
"PUBLIC","ALL_GG_AUTO_CDR_COLUMNS","SYNONYM"
"PUBLIC","ALL_GG_AUTO_CDR_COLUMN_GROUPS","SYNONYM"
"PUBLIC","ALL_GG_AUTO_CDR_TABLES","SYNONYM"
"PUBLIC","ALL_GG_INBOUND_PROGRESS","SYNONYM"
"PUBLIC","ALL_GOLDENGATE_CONTAINER_RULES","SYNONYM"
"PUBLIC","ALL_GOLDENGATE_INBOUND","SYNONYM"
"PUBLIC","ALL_GOLDENGATE_PRIVILEGES","SYNONYM"
"PUBLIC","ALL_GOLDENGATE_RULES","SYNONYM"
"PUBLIC","ALL_HEAT_MAP_SEGMENT","SYNONYM"
"PUBLIC","ALL_HEAT_MAP_SEG_HISTOGRAM","SYNONYM"
"PUBLIC","ALL_HIERARCHIES","SYNONYM"
"PUBLIC","ALL_HIERARCHIES_AE","SYNONYM"
"PUBLIC","ALL_HIER_CLASS","SYNONYM"
"PUBLIC","ALL_HIER_CLASS_AE","SYNONYM"
"PUBLIC","ALL_HIER_COLUMNS","SYNONYM"
"PUBLIC","ALL_HIER_COLUMNS_AE","SYNONYM"
"PUBLIC","ALL_HIER_HIER_ATTRIBUTES","SYNONYM"
"PUBLIC","ALL_HIER_HIER_ATTRIBUTES_AE","SYNONYM"
"PUBLIC","ALL_HIER_HIER_ATTR_CLASS","SYNONYM"
"PUBLIC","ALL_HIER_HIER_ATTR_CLASS_AE","SYNONYM"
"PUBLIC","ALL_HIER_JOIN_PATHS","SYNONYM"
"PUBLIC","ALL_HIER_JOIN_PATHS_AE","SYNONYM"
"PUBLIC","ALL_HIER_LEVELS","SYNONYM"
"PUBLIC","ALL_HIER_LEVELS_AE","SYNONYM"
"PUBLIC","ALL_HIER_LEVEL_ID_ATTRS","SYNONYM"
"PUBLIC","ALL_HIER_LEVEL_ID_ATTRS_AE","SYNONYM"
"PUBLIC","ALL_HISTOGRAMS","SYNONYM"
"PUBLIC","ALL_HIVE_COLUMNS","SYNONYM"
"PUBLIC","ALL_HIVE_DATABASES","SYNONYM"
"PUBLIC","ALL_HIVE_PART_KEY_COLUMNS","SYNONYM"
"PUBLIC","ALL_HIVE_TABLES","SYNONYM"
"PUBLIC","ALL_HIVE_TAB_PARTITIONS","SYNONYM"
"PUBLIC","ALL_IDENTIFIERS","SYNONYM"
"PUBLIC","ALL_IMMUTABLE_TABLES","SYNONYM"
"PUBLIC","ALL_INDEXES","SYNONYM"
"PUBLIC","ALL_INDEXTYPES","SYNONYM"
"PUBLIC","ALL_INDEXTYPE_ARRAYTYPES","SYNONYM"
"PUBLIC","ALL_INDEXTYPE_COMMENTS","SYNONYM"
"PUBLIC","ALL_INDEXTYPE_OPERATORS","SYNONYM"
"PUBLIC","ALL_IND_COLUMNS","SYNONYM"
"PUBLIC","ALL_IND_EXPRESSIONS","SYNONYM"
"PUBLIC","ALL_IND_PARTITIONS","SYNONYM"
"PUBLIC","ALL_IND_PENDING_STATS","SYNONYM"
"PUBLIC","ALL_IND_STATISTICS","SYNONYM"
"PUBLIC","ALL_IND_SUBPARTITIONS","SYNONYM"
"PUBLIC","ALL_INTERNAL_TRIGGERS","SYNONYM"
"PUBLIC","ALL_INT_DEQUEUE_QUEUES","SYNONYM"
"PUBLIC","ALL_JAVA_ARGUMENTS","SYNONYM"
"PUBLIC","ALL_JAVA_CLASSES","SYNONYM"
"PUBLIC","ALL_JAVA_COMPILER_OPTIONS","SYNONYM"
"PUBLIC","ALL_JAVA_DERIVATIONS","SYNONYM"
"PUBLIC","ALL_JAVA_FIELDS","SYNONYM"
"PUBLIC","ALL_JAVA_IMPLEMENTS","SYNONYM"
"PUBLIC","ALL_JAVA_INNERS","SYNONYM"
"PUBLIC","ALL_JAVA_LAYOUTS","SYNONYM"
"PUBLIC","ALL_JAVA_METHODS","SYNONYM"
"PUBLIC","ALL_JAVA_NCOMPS","SYNONYM"
"PUBLIC","ALL_JAVA_RESOLVERS","SYNONYM"
"PUBLIC","ALL_JAVA_THROWS","SYNONYM"
"PUBLIC","ALL_JOBS","SYNONYM"
"PUBLIC","ALL_JOIN_IND_COLUMNS","SYNONYM"
"PUBLIC","ALL_JSON_COLUMNS","SYNONYM"
"PUBLIC","ALL_JSON_DATAGUIDES","SYNONYM"
"PUBLIC","ALL_JSON_DATAGUIDE_FIELDS","SYNONYM"
"PUBLIC","ALL_LIBRARIES","SYNONYM"
"PUBLIC","ALL_LOBS","SYNONYM"
"PUBLIC","ALL_LOB_PARTITIONS","SYNONYM"
"PUBLIC","ALL_LOB_SUBPARTITIONS","SYNONYM"
"PUBLIC","ALL_LOB_TEMPLATES","SYNONYM"
"PUBLIC","ALL_LOG_GROUPS","SYNONYM"
"PUBLIC","ALL_LOG_GROUP_COLUMNS","SYNONYM"
"PUBLIC","ALL_MEASURE_FOLDERS","SYNONYM"
"PUBLIC","ALL_MEASURE_FOLDER_CONTENTS","SYNONYM"
"PUBLIC","ALL_MEASURE_FOLDER_SUBFOLDERS","SYNONYM"
"PUBLIC","ALL_METADATA_PROPERTIES","SYNONYM"
"PUBLIC","ALL_METHOD_PARAMS","SYNONYM"
"PUBLIC","ALL_METHOD_RESULTS","SYNONYM"
"PUBLIC","ALL_MINING_ALGORITHMS","SYNONYM"
"PUBLIC","ALL_MINING_MODELS","SYNONYM"
"PUBLIC","ALL_MINING_MODEL_ATTRIBUTES","SYNONYM"
"PUBLIC","ALL_MINING_MODEL_PARTITIONS","SYNONYM"
"PUBLIC","ALL_MINING_MODEL_SETTINGS","SYNONYM"
"PUBLIC","ALL_MINING_MODEL_VIEWS","SYNONYM"
"PUBLIC","ALL_MINING_MODEL_XFORMS","SYNONYM"
"PUBLIC","ALL_MP_GRAPH_WORKSPACES","SYNONYM"
"PUBLIC","ALL_MP_PARENT_WORKSPACES","SYNONYM"
"PUBLIC","ALL_MVIEWS","SYNONYM"
"PUBLIC","ALL_MVIEW_AGGREGATES","SYNONYM"
"PUBLIC","ALL_MVIEW_ANALYSIS","SYNONYM"
"PUBLIC","ALL_MVIEW_COMMENTS","SYNONYM"
"PUBLIC","ALL_MVIEW_DETAIL_PARTITION","SYNONYM"
"PUBLIC","ALL_MVIEW_DETAIL_RELATIONS","SYNONYM"
"PUBLIC","ALL_MVIEW_DETAIL_SUBPARTITION","SYNONYM"
"PUBLIC","ALL_MVIEW_JOINS","SYNONYM"
"PUBLIC","ALL_MVIEW_KEYS","SYNONYM"
"PUBLIC","ALL_MVIEW_LOGS","SYNONYM"
"PUBLIC","ALL_MVIEW_REFRESH_TIMES","SYNONYM"
"PUBLIC","ALL_NESTED_TABLES","SYNONYM"
"PUBLIC","ALL_NESTED_TABLE_COLS","SYNONYM"
"PUBLIC","ALL_OBJECTS","SYNONYM"
"PUBLIC","ALL_OBJECTS_AE","SYNONYM"
"PUBLIC","ALL_OBJECT_TABLES","SYNONYM"
"PUBLIC","ALL_OBJ_COLATTRS","SYNONYM"
"PUBLIC","ALL_OPANCILLARY","SYNONYM"
"PUBLIC","ALL_OPARGUMENTS","SYNONYM"
"PUBLIC","ALL_OPBINDINGS","SYNONYM"
"PUBLIC","ALL_OPERATORS","SYNONYM"
"PUBLIC","ALL_OPERATOR_COMMENTS","SYNONYM"
"PUBLIC","ALL_OUTLINES","SYNONYM"
"PUBLIC","ALL_OUTLINE_HINTS","SYNONYM"
"PUBLIC","ALL_PARTIAL_DROP_TABS","SYNONYM"
"PUBLIC","ALL_PART_COL_STATISTICS","SYNONYM"
"PUBLIC","ALL_PART_HISTOGRAMS","SYNONYM"
"PUBLIC","ALL_PART_INDEXES","SYNONYM"
"PUBLIC","ALL_PART_KEY_COLUMNS","SYNONYM"
"PUBLIC","ALL_PART_LOBS","SYNONYM"
"PUBLIC","ALL_PART_TABLES","SYNONYM"
"PUBLIC","ALL_PATH","SYNONYM"
"PUBLIC","ALL_PENDING_CONV_TABLES","SYNONYM"
"PUBLIC","ALL_PLSQL_COLL_TYPES","SYNONYM"
"PUBLIC","ALL_PLSQL_OBJECT_SETTINGS","SYNONYM"
"PUBLIC","ALL_PLSQL_TYPES","SYNONYM"
"PUBLIC","ALL_PLSQL_TYPE_ATTRS","SYNONYM"
"PUBLIC","ALL_POLICIES","SYNONYM"
"PUBLIC","ALL_POLICY_ATTRIBUTES","SYNONYM"
"PUBLIC","ALL_POLICY_CONTEXTS","SYNONYM"
"PUBLIC","ALL_POLICY_GROUPS","SYNONYM"
"PUBLIC","ALL_PROCEDURES","SYNONYM"
"PUBLIC","ALL_PROPAGATION","SYNONYM"
"PUBLIC","ALL_QUEUES","SYNONYM"
"PUBLIC","ALL_QUEUE_PUBLISHERS","SYNONYM"
"PUBLIC","ALL_QUEUE_SCHEDULES","SYNONYM"
"PUBLIC","ALL_QUEUE_SUBSCRIBERS","SYNONYM"
"PUBLIC","ALL_QUEUE_TABLES","SYNONYM"
"PUBLIC","ALL_REFRESH","SYNONYM"
"PUBLIC","ALL_REFRESH_CHILDREN","SYNONYM"
"PUBLIC","ALL_REFRESH_DEPENDENCIES","SYNONYM"
"PUBLIC","ALL_REFS","SYNONYM"
"PUBLIC","ALL_REGISTERED_MVIEWS","SYNONYM"
"PUBLIC","ALL_REGISTERED_SNAPSHOTS","SYNONYM"
"PUBLIC","ALL_REGISTRY_BANNERS","SYNONYM"
"PUBLIC","ALL_REMOVED_WORKSPACES","SYNONYM"
"PUBLIC","ALL_REPLICATION_PROCESS_EVENTS","SYNONYM"
"PUBLIC","ALL_REPL_DBNAME_MAPPING","SYNONYM"
"PUBLIC","ALL_REWRITE_EQUIVALENCES","SYNONYM"
"PUBLIC","ALL_RULES","SYNONYM"
"PUBLIC","ALL_RULESETS","SYNONYM"
"PUBLIC","ALL_RULE_SETS","SYNONYM"
"PUBLIC","ALL_RULE_SET_RULES","SYNONYM"
"PUBLIC","ALL_SCHEDULER_CHAINS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_CHAIN_RULES","SYNONYM"
"PUBLIC","ALL_SCHEDULER_CHAIN_STEPS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_CREDENTIALS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_DB_DESTS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_DESTS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_EXTERNAL_DESTS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_FILE_WATCHERS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_GLOBAL_ATTRIBUTE","SYNONYM"
"PUBLIC","ALL_SCHEDULER_GROUPS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_GROUP_MEMBERS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_INCOMPATS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_INCOMPAT_MEMBER","SYNONYM"
"PUBLIC","ALL_SCHEDULER_JOBS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_JOB_ARGS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_JOB_CLASSES","SYNONYM"
"PUBLIC","ALL_SCHEDULER_JOB_DESTS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_JOB_LOG","SYNONYM"
"PUBLIC","ALL_SCHEDULER_JOB_RUN_DETAILS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_NOTIFICATIONS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_PROGRAMS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_PROGRAM_ARGS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_REMOTE_DATABASES","SYNONYM"
"PUBLIC","ALL_SCHEDULER_REMOTE_JOBSTATE","SYNONYM"
"PUBLIC","ALL_SCHEDULER_RESOURCES","SYNONYM"
"PUBLIC","ALL_SCHEDULER_RSC_CONSTRAINTS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_RUNNING_CHAINS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_RUNNING_JOBS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_SCHEDULES","SYNONYM"
"PUBLIC","ALL_SCHEDULER_WINDOWS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_WINDOW_DETAILS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_WINDOW_GROUPS","SYNONYM"
"PUBLIC","ALL_SCHEDULER_WINDOW_LOG","SYNONYM"
"PUBLIC","ALL_SCHEDULER_WINGROUP_MEMBERS","SYNONYM"
"PUBLIC","ALL_SECONDARY_OBJECTS","SYNONYM"
"PUBLIC","ALL_SEC_RELEVANT_COLS","SYNONYM"
"PUBLIC","ALL_SEQUENCES","SYNONYM"
"PUBLIC","ALL_SERVICES","SYNONYM"
"PUBLIC","ALL_SNAPSHOTS","SYNONYM"
